"ITEX_name","GBIF_name","SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME","n_occ","N"
"Abietinella abietina","Abietinella abietina","Abietinella abietina","(Hedw.) M. Fleisch.","Accepted","Thuidiaceae","Abietinella abietina","(Hedw.) M. Fleisch.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Abietinella abietina",21411,6409
"Acaena novae-zelandiae","Acaena novae-zelandiae","Acaena novae-zelandiae","Kirk","Accepted","Rosaceae","Acaena novae-zelandiae","Kirk",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Acaena novae-zelandiae",33298,6059
"Achillea atrata","Achillea atrata","Achillea atrata","L.","Accepted","Compositae","Achillea atrata","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Achillea atrata",6057,1636
"Achillea millefolium","Achillea millefolium","Achillea lanulosa","Nutt.","Synonym","Compositae","Achillea millefolium","L.",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Achillea millefolium",1346297,6904
"Achillea millefolium","Achillea millefolium","Achillea millefolium","L.","Accepted","Compositae","Achillea millefolium","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Achillea millefolium",1346297,6904
"Aconitum delphinifolium","Aconitum delphinifolium","Aconitum delphinifolium","DC.","Accepted","Ranunculaceae","Aconitum delphinifolium","DC.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Aconitum delphinifolium",1351,717
"Aconitum septentrionale","Aconitum septentrionale","Aconitum septentrionale","Koelle","Accepted","Ranunculaceae","Aconitum septentrionale","Koelle",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Aconitum septentrionale",32700,6534
"Aconitum tschangbaischanense","Aconitum tschangbaischanense","Aconitum tschangbaischanense","S.H.Li & Y.H.Huang","Accepted","Ranunculaceae","Aconitum tschangbaischanense","S.H.Li & Y.H.Huang",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Aconitum tschangbaischanense",19,7
"Adoxa moschatellina","Adoxa moschatellina","Adoxa moschatellina","L.","Accepted","Adoxaceae","Adoxa moschatellina","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Adoxa moschatellina",137652,4849
"Agropyron velutinum","Agropyron velutinum","Australopyrum velutinum","(Nees) B.K.Simon","Synonym","Poaceae","Agropyron velutinum","Nees",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Agropyron velutinum",1,1
"Agrostis canina","Agrostis canina","Agrostis canina","L.","Accepted","Poaceae","Agrostis canina","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis canina",215667,5145
"Agrostis canina","Agrostis canina","Agrostis canina","Ucria","Synonym","Poaceae","Agrostis pourretii","Willd.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis canina",215667,5145
"Agrostis capillaris","Agrostis capillaris","Agrostis capillaris","L.","Accepted","Poaceae","Agrostis capillaris","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis capillaris",944807,6193
"Agrostis humilis","Agrostis humilis","Agrostis humilis","Vasey","Accepted","Poaceae","Agrostis humilis","Vasey",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis humilis",397,330
"Agrostis mertensii","Agrostis mertensii","Agrostis mertensii","Trin.","Accepted","Poaceae","Agrostis mertensii","Trin.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis mertensii",18809,8892
"Agrostis rupestris","Agrostis rupestris","Agrostis rupestris","All.","Accepted","Poaceae","Agrostis rupestris","All.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis rupestris",25414,2682
"Agrostis rupestris","Agrostis rupestris","Agrostis rupestris","Willd. ex Kunth","Synonym","Poaceae","Agrostis alpina","Scop.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis rupestris",25414,2682
"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","L.","Accepted","Poaceae","Agrostis stolonifera","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis stolonifera",845319,5676
"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","Leers","Synonym","Poaceae","Agrostis gigantea","Roth",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis stolonifera",845319,5676
"Agrostis vinealis","Agrostis vinealis","Agrostis vinealis","Schreb.","Accepted","Poaceae","Agrostis vinealis","Schreb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis vinealis",50227,5127
"Agrostis vinealis","Agrostis vinealis","Agrostis vinealis","Honck.","Synonym","Poaceae","Agrostis castellana","Boiss. & Reut.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Agrostis vinealis",50227,5127
"Ajania tenuifolia","Ajania tenuifolia","Ajania tenuifolia","Tzvelev","Accepted","Compositae","Ajania tenuifolia","Tzvelev",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Ajania tenuifolia",362,130
"Ajuga australis","Ajuga australis","Ajuga australis","R.Br.","Accepted","Lamiaceae","Ajuga australis","R.Br.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Ajuga australis",11774,7084
"Alchemilla alpina","Alchemilla alpina","Alchemilla alpina","L.","Accepted","Rosaceae","Alchemilla alpina","L.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina",49654,6565
"Alchemilla alpina","Alchemilla alpina","Alchemilla alpina","M.Bieb.","Unresolved","Rosaceae","Alchemilla alpina","M.Bieb.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina",49654,6565
"Alchemilla alpina","Alchemilla alpina","Alchemilla alpina","Willk.","Unresolved","Rosaceae","Alchemilla alpina","Willk.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina",49654,6565
"Alchemilla alpina","Alchemilla alpina","Alchemilla alpina","Schinz & R.Keller","Unresolved","Rosaceae","Alchemilla alpina","Schinz & R.Keller",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina",49654,6565
"Alchemilla alpina","Alchemilla alpina","Alchemilla alpina","Neilr.","Unresolved","Rosaceae","Alchemilla alpina","Neilr.",5,TRUE,FALSE,FALSE,TRUE,FALSE,"Alchemilla alpina",49654,6565
"Alchemilla caucasica","Alchemilla caucasica","Alchemilla caucasica","Buser","Accepted","Rosaceae","Alchemilla caucasica","Buser",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Alchemilla caucasica",70,38
"Alchemilla vulgaris","Alchemilla vulgaris","Alchemilla vulgaris","Willd.","Unresolved","Rosaceae","Alchemilla vulgaris","Willd.",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris",55541,7309
"Alchemilla vulgaris","Alchemilla vulgaris","Alchemilla vulgaris","Wight","Unresolved","Rosaceae","Alchemilla vulgaris","Wight",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris",55541,7309
"Alchemilla vulgaris","Alchemilla vulgaris","Alchemilla vulgaris","L.","Unresolved","Rosaceae","Alchemilla vulgaris","L.",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris",55541,7309
"Alchemilla vulgaris","Alchemilla vulgaris","Alchemilla vulgaris","S.E.Fr”hner","Unresolved","Rosaceae","Alchemilla vulgaris","S.E.Fr”hner",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris",55541,7309
"Alchemilla vulgaris","Alchemilla vulgaris","Alchemilla vulgaris","Buser","Unresolved","Rosaceae","Alchemilla vulgaris","Buser",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris",55541,7309
"Alchemilla vulgaris","Alchemilla vulgaris","Alchemilla vulgaris","auct.","Synonym","Rosaceae","Alchemilla xanthochlora","Rothm.",6,FALSE,FALSE,FALSE,TRUE,FALSE,"Alchemilla vulgaris",55541,7309
"Allium geyeri","Allium geyeri","Allium geyeri","S.Watson","Accepted","Amaryllidaceae","Allium geyeri","S.Watson",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Allium geyeri",2710,1605
"Alopecurus alpinus","Alopecurus alpinus Vill.","Alopecurus alpinus","Vill.","Accepted","Poaceae","Alopecurus alpinus","Vill.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Alopecurus alpinus",3824,548
"Alopecurus alpinus","Alopecurus alpinus Vill.","Alopecurus alpinus","Sm.","Synonym","Poaceae","Alopecurus magellanicus","Lam.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Alopecurus alpinus",3824,548
"Alopecurus magellanicus","Alopecurus magellanicus","Alopecurus borealis","Trin.","Synonym","Poaceae","Alopecurus magellanicus","Lam.",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Alopecurus magellanicus",4371,1868
"Alopecurus magellanicus","Alopecurus magellanicus","Alopecurus magellanicus","Lam.","Accepted","Poaceae","Alopecurus magellanicus","Lam.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Alopecurus magellanicus",4371,1868
"Alopecurus pratensis","Alopecurus pratensis","Alopecurus pratensis","L.","Accepted","Poaceae","Alopecurus pratensis","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Alopecurus pratensis",432031,5506
"Alopecurus pratensis","Alopecurus pratensis","Alopecurus pratensis","Bourg. ex Lange","Synonym","Poaceae","Alopecurus arundinaceus","Poir.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Alopecurus pratensis",432031,5506
"Anaphalis lactea","Anaphalis lactea","Anaphalis lactea","Maxim.","Accepted","Compositae","Anaphalis lactea","Maxim.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anaphalis lactea",410,142
"Anastrophyllum minutum","Anastrophyllum minutum","Anastrophyllum minutum","(Schreb.) R.M. Schust.","Accepted","Anastrophyllaceae","Anastrophyllum minutum","(Schreb.) R.M. Schust.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anastrophyllum minutum",4321,2188
"Anastrophyllum saxicola","Anastrophyllum saxicola","Anastrophyllum saxicola","(Schrad.) R.M. Schust.","Accepted","Anastrophyllaceae","Anastrophyllum saxicola","(Schrad.) R.M. Schust.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anastrophyllum saxicola",623,293
"Andromeda polifolia","Andromeda polifolia","Andromeda polifolia","L.","Accepted","Ericaceae","Andromeda polifolia","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Andromeda polifolia",150989,6346
"Androsace chamaejasme","Androsace chamaejasme","Androsace chamaejasme","Wulfen","Accepted","Primulaceae","Androsace chamaejasme","Wulfen",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Androsace chamaejasme",7946,2457
"Androsace chamaejasme","Androsace chamaejasme","Androsace chamaejasme","Wulfen ex Host","Unresolved","Primulaceae","Androsace chamaejasme","Wulfen ex Host",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Androsace chamaejasme",7946,2457
"Androsace chamaejasme","Androsace chamaejasme","Androsace chamaejasme","M.Bieb.","Synonym","Primulaceae","Androsace villosa","L.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Androsace chamaejasme",7946,2457
"Androsace obtusifolia","Androsace obtusifolia","Androsace obtusifolia","All.","Accepted","Primulaceae","Androsace obtusifolia","All.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Androsace obtusifolia",5969,1591
"Androsace obtusifolia","Androsace obtusifolia","Androsace obtusifolia","Willd. ex Ledeb.","Synonym","Primulaceae","Androsace chamaejasme","Wulfen",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Androsace obtusifolia",5969,1591
"Androsace ochotensis","Androsace ochotensis","Douglasia ochotensis","(Willd.) Hultén","Synonym","Primulaceae","Androsace ochotensis","Willd. ex Roem. & Schult.",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Androsace ochotensis",415,151
"Androsace septentrionalis","Androsace septentrionalis","Androsace septentrionalis","L.","Accepted","Primulaceae","Androsace septentrionalis","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Androsace septentrionalis",17082,5366
"Anemone narcissiflora","Anemone narcissiflora L.","Anemone narcissiflora","L.","Accepted","Ranunculaceae","Anemone narcissiflora","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone narcissiflora",0,1195
"Anemone narcissiflora","Anemone narcissiflora L.","Anemone narcissiflora","Hook. & Arn.","Synonym","Ranunculaceae","Anemone multifida","Poir.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone narcissiflora",0,1195
"Anemone obtusiloba","Anemone obtusiloba D.Don","Anemone obtusiloba","D.Don","Accepted","Ranunculaceae","Anemone obtusiloba","D.Don",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone obtusiloba",0,58
"Anemone obtusiloba","Anemone obtusiloba D.Don","Anemone obtusiloba","Lindl.","Synonym","Ranunculaceae","Anemone polyanthes","D.Don",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone obtusiloba",0,58
"Anemone parviflora","Anemone parviflora","Anemone parviflora","Michx.","Accepted","Ranunculaceae","Anemone parviflora","Michx.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone parviflora",3464,2415
"Anemone richardsonii","Anemone richardsonii","Anemone richardsonii","Hook.","Accepted","Ranunculaceae","Anemone richardsonii","Hook.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone richardsonii",898,569
"Anemone speciosa","Anemone speciosa","Anemone speciosa","Adams","Synonym","Ranunculaceae","Anemone narcissiflora subsp. fasciculata","(L.) Ziman & Fedor.",3,FALSE,FALSE,FALSE,FALSE,FALSE,"Anemone speciosa",7,2
